Price,Adj Close,Close,High,Low,Open,Volume
Ticker,REGN,REGN,REGN,REGN,REGN,REGN
Date,,,,,,
2015-01-02,407.89776611328125,410.1600036621094,419.1499938964844,407.5,413.8999938964844,765900
2015-01-05,410.1949768066406,412.4700012207031,419.4100036621094,409.0400085449219,414.260009765625,882800
2015-01-06,394.7009582519531,396.8900146484375,420.75,396.54998779296875,414.3900146484375,1262400
2015-01-07,405.47119140625,407.7200012207031,408.67999267578125,398.5,402.7900085449219,880600
2015-01-08,401.0258483886719,403.25,412.989990234375,401.1600036621094,411.57000732421875,1184500
2015-01-09,408.77288818359375,411.0400085449219,419.19000244140625,404.1600036621094,409.7799987792969,1207600
2015-01-12,411.0502624511719,413.3299865722656,419.44000244140625,409.5,414.0199890136719,664500
2015-01-13,404.2479553222656,406.489990234375,425.489990234375,402.5199890136719,417.7300109863281,1438200
2015-01-14,402.08001708984375,404.30999755859375,408.5199890136719,401.4200134277344,403.1199951171875,968600
2015-01-15,394.9296569824219,397.1199951171875,407.2200012207031,395.55999755859375,405.4800109863281,982900
2015-01-16,406.43585205078125,408.69000244140625,409.70001220703125,395.6600036621094,398.17999267578125,1036700
2015-01-20,418.787353515625,421.1099853515625,422.5299987792969,405.1499938964844,410.7799987792969,803000
2015-01-21,415.80389404296875,418.1099853515625,423.9100036621094,412.010009765625,418.1499938964844,687400
2015-01-22,418.489013671875,420.80999755859375,421.2900085449219,406.5,418.9700012207031,589500
2015-01-23,417.89227294921875,420.2099914550781,422.9100036621094,414.5899963378906,421.05999755859375,387600
2015-01-26,421.43267822265625,423.7699890136719,427.45001220703125,417.010009765625,419.9100036621094,453600
2015-01-27,413.44696044921875,415.739990234375,422.07000732421875,413.6499938964844,417.2300109863281,704800
2015-01-28,405.7496337890625,408.0,420.6000061035156,407.5,417.6400146484375,641000
2015-01-29,412.3530578613281,414.6400146484375,415.5,401.1700134277344,408.67999267578125,583500
2015-01-30,414.3619079589844,416.6600036621094,424.739990234375,410.6000061035156,410.8800048828125,1060000
2015-02-02,410.81158447265625,413.0899963378906,420.989990234375,407.6400146484375,419.7900085449219,637700
2015-02-03,406.94305419921875,409.20001220703125,416.5199890136719,398.7099914550781,416.5199890136719,933100
2015-02-04,399.1462707519531,401.3599853515625,407.8900146484375,393.0,400.4700012207031,1195100
2015-02-05,411.5873107910156,413.8699951171875,415.4700012207031,403.1700134277344,403.54998779296875,760300
2015-02-06,404.6159362792969,406.8599853515625,414.4700012207031,405.260009765625,413.4700012207031,625600
2015-02-09,397.51531982421875,399.7200012207031,409.1499938964844,397.70001220703125,407.54998779296875,1023800
2015-02-10,398.4998779296875,400.7099914550781,407.760009765625,394.010009765625,402.6499938964844,1580900
